timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-11-26,3.03,3.052,2.479,2.933,782738.49,1606435199999,2124257.809,1399,349685.13,955518.36759,0
2020-11-27,2.895,3.17,2.763,3.04,303865.45,1606521599999,897354.28777,761,151071.47,445539.36785,0
2020-11-28,3.06,3.5,2.928,3.369,250056.1,1606607999999,817799.50345,733,124380.5,405446.82073,0
2020-11-29,3.335,3.429,3.174,3.286,128390.61,1606694399999,423142.76861,502,51053.57,168057.53927,0
2020-11-30,3.3,3.6,3.258,3.557,233018.24,1606780799999,807755.38291,907,122951.02,426386.86189,0
2020-12-01,3.557,3.614,3.002,3.22,139029.55,1606867199999,462703.80991,545,63812.62,211897.8255,0
2020-12-02,3.22,3.334,3.178,3.3,58370.38,1606953599999,189411.20244,394,30058.49,97620.39068,0
2020-12-03,3.327,3.33,3.234,3.265,59550.52,1607039999999,195165.16893,308,29270.96,95950.20292,0
2020-12-04,3.258,3.268,2.844,2.9,156390.31,1607126399999,478102.67172,606,62138.73,189525.29247,0
2020-12-05,2.884,3.077,2.88,3.04,127148.05,1607212799999,385441.27882,185,58477.26,177838.44991,0
2020-12-06,3.054,3.256,3.017,3.204,152343.23,1607299199999,475991.82632,397,65105.2,203980.48799,0
2020-12-07,3.224,3.224,3.038,3.126,66280.64,1607385599999,207556.18154,322,30507.7,95435.29024,0
2020-12-08,3.126,3.13,2.857,2.897,106542.83,1607471999999,320849.76976,457,41625.64,125550.63911,0
2020-12-09,2.9,3.143,2.632,3.048,179180.42,1607558399999,520946.24279,651,100302.77,290107.63384,0
2020-12-10,3.048,3.048,2.87,2.911,137718.87,1607644799999,403951.67743,499,67607.76,198372.76697,0
2020-12-11,2.9,2.98,2.681,2.805,383853.06,1607731199999,1085826.42174,1017,164974.29,464972.12229,0
2020-12-12,2.81,2.81,2.2,2.597,456371.11,1607817599999,1188149.50669,928,237405.49,613053.19067,0
2020-12-13,2.612,2.679,2.5,2.605,114321.54,1607903999999,295398.97355,318,51035.51,131442.91638,0
2020-12-14,2.6,2.624,2.491,2.55,97980.44,1607990399999,249171.09671,387,38681.86,99030.90517,0
2020-12-15,2.55,2.594,2.376,2.397,134973.24,1608076799999,331235.02395,497,49870.48,123017.87751,0
2020-12-16,2.39,2.893,2.246,2.88,359365.02,1608163199999,928902.15706,1221,193812.85,501799.15715,0
2020-12-17,2.87,3.283,2.696,2.911,585874.28,1608249599999,1772261.90149,1759,352943.7,1068041.33273,0
2020-12-18,2.859,3.085,2.798,2.97,195513.64,1608335999999,574795.74656,757,114637.5,336797.17032,0
2020-12-19,2.962,3.065,2.9,2.922,82837.64,1608422399999,245327.94424,387,24585.32,73146.13202,0
